natx =      691
    x       y        z       iph  
      2.22245      8.88980     -2.22245   1      9.42906
     -2.22245      8.88980     -2.22245   1      9.42906
      8.88980     -2.22245     -2.22245   1      9.42906
     -8.88980     -2.22245     -2.22245   1      9.42906
      2.22245     -8.88980     -2.22245   1      9.42906
     -2.22245     -8.88980     -2.22245   1      9.42906
      6.66735      0.00000     -6.66735   1      9.42906
     -6.66735      0.00000     -6.66735   1      9.42906
      0.00000      6.66735     -6.66735   1      9.42906
      0.00000     -6.66735     -6.66735   1      9.42906
      2.22245      2.22245     -8.88980   1      9.42906
     -2.22245      2.22245     -8.88980   1      9.42906
      2.22245     -2.22245     -8.88980   1      9.42906
     -2.22245     -2.22245     -8.88980   1      9.42906
      6.66735      6.66735      2.22245   2      9.68743
     -6.66735      6.66735      2.22245   2      9.68743
      6.66735     -6.66735      2.22245   2      9.68743
     -6.66735     -6.66735      2.22245   2      9.68743
      6.66735      2.22245      6.66735   2      9.68743
     -6.66735      2.22245      6.66735   2      9.68743
      2.22245      6.66735      6.66735   2      9.68743
     -2.22245      6.66735      6.66735   2      9.68743
      6.66735     -2.22245      6.66735   2      9.68743
     -6.66735     -2.22245      6.66735   2      9.68743
      2.22245     -6.66735      6.66735   2      9.68743
     -2.22245     -6.66735      6.66735   2      9.68743
      6.66735      6.66735     -2.22245   2      9.68743
     -6.66735      6.66735     -2.22245   2      9.68743
      6.66735     -6.66735     -2.22245   2      9.68743
     -6.66735     -6.66735     -2.22245   2      9.68743
      6.66735      2.22245     -6.66735   2      9.68743
     -6.66735      2.22245     -6.66735   2      9.68743
      2.22245      6.66735     -6.66735   2      9.68743
     -2.22245      6.66735     -6.66735   2      9.68743
      6.66735     -2.22245     -6.66735   2      9.68743
     -6.66735     -2.22245     -6.66735   2      9.68743
      2.22245     -6.66735     -6.66735   2      9.68743
     -2.22245     -6.66735     -6.66735   2      9.68743
      8.88980      4.44490      0.00000   1      9.93910
     -8.88980      4.44490      0.00000   1      9.93910
      4.44490      8.88980      0.00000   1      9.93910
     -4.44490      8.88980      0.00000   1      9.93910
      8.88980     -4.44490      0.00000   1      9.93910
     -8.88980     -4.44490      0.00000   1      9.93910
      4.44490     -8.88980      0.00000   1      9.93910
     -4.44490     -8.88980      0.00000   1      9.93910
      8.88980      0.00000      4.44490   1      9.93910
     -8.88980      0.00000      4.44490   1      9.93910
      0.00000      8.88980      4.44490   1      9.93910
      0.00000     -8.88980      4.44490   1      9.93910
      4.44490      0.00000      8.88980   1      9.93910
     -4.44490      0.00000      8.88980   1      9.93910
      0.00000      4.44490      8.88980   1      9.93910
      0.00000     -4.44490      8.88980   1      9.93910
      8.88980      0.00000     -4.44490   1      9.93910
     -8.88980      0.00000     -4.44490   1      9.93910
      0.00000      8.88980     -4.44490   1      9.93910
