    12.3000   -9.122553E-04  1.055590E-03  4.816747E+01
    12.3500   -8.417310E-04  8.832708E-04  4.838678E+01
    12.4000   -7.238571E-04  7.303004E-04  4.856175E+01
    12.4500   -6.074125E-04  6.075070E-04  4.867704E+01
    12.5000   -5.267940E-04  5.270935E-04  4.872840E+01
    12.5500   -4.960626E-04  4.967005E-04  4.874537E+01
    12.6000   -5.086725E-04  5.107644E-04  4.878522E+01
    12.6500   -5.422918E-04  5.522663E-04  4.888503E+01
    12.7000   -5.669911E-04  6.037240E-04  4.904532E+01
    12.7500   -5.544672E-04  6.530810E-04  4.925139E+01
    12.8000   -4.859670E-04  6.933659E-04  4.948885E+01
    12.8500   -3.571230E-04  7.209445E-04  4.974724E+01
    12.9000   -1.788132E-04  7.342280E-04  5.001947E+01
    12.9500    2.581647E-05  7.329181E-04  5.030071E+01
    13.0000    2.271336E-04  7.175792E-04  5.058755E+01
    13.0500    4.135387E-04  7.184889E-04  5.087878E+01
    13.1000    5.585318E-04  7.094788E-04  5.117181E+01
    13.1500    6.441292E-04  6.912251E-04  5.146501E+01
    13.2000    6.625350E-04  6.646311E-04  5.175684E+01
    13.2500    6.170160E-04  6.308000E-04  5.204571E+01
    13.3000    5.204773E-04  5.910168E-04  5.232985E+01
    13.3500    3.921817E-04  5.467370E-04  5.260714E+01
    13.4000    2.534429E-04  4.995819E-04  5.287501E+01
    13.4500    1.233092E-04  4.513389E-04  5.313035E+01
    13.5000    1.520428E-05  4.039610E-04  5.336943E+01
    13.5500   -6.478733E-05  3.595498E-04  5.358825E+01
    13.6000   -1.177316E-04  3.202789E-04  5.378349E+01
    13.6500   -1.499764E-04  2.881804E-04  5.395442E+01
    13.7000   -1.702321E-04  2.647186E-04  5.410557E+01
    13.7500   -1.864646E-04  2.502223E-04  5.424790E+01
    13.8000   -2.034535E-04  2.435402E-04  5.439593E+01
    13.8500   -2.216395E-04  2.423053E-04  5.456187E+01
    13.9000   -2.374815E-04  2.436888E-04  5.475168E+01
    13.9500   -2.451011E-04  2.451198E-04  5.496551E+01
    14.0000   -2.386306E-04  2.446519E-04  5.520019E+01
    14.0500   -2.241508E-04  2.517182E-04  5.545026E+01
    14.1000   -1.901071E-04  2.563589E-04  5.571327E+01
    14.1500   -1.376794E-04  2.580117E-04  5.598580E+01
    14.2000   -7.179306E-05  2.563922E-04  5.626486E+01
    14.2500   -2.124468E-07  2.514482E-04  5.654782E+01
    14.3000    6.808944E-05  2.433224E-04  5.683229E+01
    14.3500    1.248378E-04  2.323199E-04  5.711596E+01
    14.4000    1.641340E-04  2.188821E-04  5.739654E+01
    14.4500    1.834825E-04  2.035623E-04  5.767156E+01
    14.5000    1.839442E-04  1.870029E-04  5.793835E+01
    14.5500    1.694431E-04  1.699141E-04  5.819394E+01
    14.6000    1.454825E-04  1.530483E-04  5.843521E+01
    14.6500    1.176663E-04  1.371669E-04  5.865922E+01
    14.7000    9.043730E-05  1.229864E-04  5.886409E+01
    14.7500    6.634591E-05  1.110922E-04  5.905024E+01
    14.8000    4.597326E-05  1.018200E-04  5.922180E+01
    14.8500    2.843460E-05  9.514250E-05  5.938676E+01
    14.9000    1.222442E-05  9.063860E-05  5.955498E+01
    14.9500   -3.907389E-06  8.759822E-05  5.973488E+01
    15.0000   -2.033042E-05  8.521658E-05  5.993116E+01
