# Orientation sensitive EELS calculation - beam energy =   300.keV
# Sample to beam orientation :    0.000    1.000    0.000
# Collection and convergence semiangle:      2.400      0.000   ; # points:     5 x 3
# Detector position:     0.0000     0.0000
# Units are a_0^2 / eV.  Multiply by 28.00 10^-18  to get cm^-2 / eV.  Or by 28 to get Mbarn / eV.
# Relativistic and cross-terms.
# # POT  SCF 100  4.0000   0, screened core-hole, AFOLP (folp(0)= 1.150)                            
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00                                           
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000                                
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00                                           
#  Energy       total         atomic-bg     fine-struct   xx            xy            xz            yx            yy            yz            zx            zy            zz
   9060.54      0.522613E-11  0.527187E-11 -0.457390E-13  0.105676E-12  0.153746E-35  0.737978E-37  0.113779E-35  0.501391E-11  0.155165E-35  0.473492E-37  0.143410E-35  0.106542E-12
   9062.21      0.523616E-11  0.527429E-11 -0.381295E-13  0.105844E-12  0.182909E-35  0.312652E-37  0.178207E-35  0.502379E-11  0.155165E-35  0.459589E-37  0.164569E-35  0.106530E-12
   9063.89      0.526249E-11  0.527612E-11 -0.136372E-13  0.106344E-12  0.122228E-35  0.522971E-37  0.103420E-35  0.504942E-11  0.893376E-36  0.376035E-37  0.105794E-35  0.106720E-12
   9065.60      0.530725E-11  0.527790E-11  0.293514E-13  0.107216E-12 -0.406732E-36 -0.931483E-38 -0.315631E-36  0.509276E-11 -0.452565E-36 -0.968218E-38 -0.470198E-36  0.107269E-12
   9067.32      0.537115E-11  0.527965E-11  0.914957E-13  0.108470E-12 -0.249964E-35 -0.796086E-37 -0.229981E-35  0.515435E-11 -0.286821E-35 -0.972410E-37 -0.277417E-35  0.108322E-12
   9069.07      0.545361E-11  0.528137E-11  0.172242E-12  0.110094E-12 -0.550410E-35 -0.249869E-36 -0.569218E-35  0.523357E-11 -0.601853E-35 -0.196972E-36 -0.564237E-35  0.109947E-12
   9070.83      0.554757E-11  0.528149E-11  0.266081E-12  0.111945E-12 -0.386522E-35 -0.125251E-36 -0.386522E-35  0.532365E-11 -0.394966E-35 -0.169332E-36 -0.394966E-35  0.111975E-12
   9072.61      0.565265E-11  0.528157E-11  0.371082E-12  0.114016E-12 -0.187815E-35 -0.550641E-37 -0.187815E-35  0.542432E-11 -0.305629E-35 -0.550641E-37 -0.282119E-35  0.114312E-12
   9074.41      0.576053E-11  0.528159E-11  0.478943E-12  0.116143E-12 -0.115129E-35 -0.647899E-37 -0.136288E-35  0.552776E-11 -0.134006E-35 -0.427494E-37 -0.136357E-35  0.116631E-12
   9076.23      0.585787E-11  0.528160E-11  0.576274E-12  0.118061E-12 -0.927537E-36 -0.410098E-37 -0.933414E-36  0.562130E-11 -0.799336E-36 -0.424792E-37 -0.752316E-36  0.118513E-12
   9078.07      0.592480E-11  0.528012E-11  0.644678E-12  0.119369E-12 -0.584108E-37 -0.560662E-38 -0.635535E-37  0.568593E-11 -0.141059E-36 -0.533111E-38 -0.141059E-36  0.119494E-12
   9079.92      0.594634E-11  0.527863E-11  0.667713E-12  0.119766E-12  0.314745E-36 -0.579842E-39  0.322091E-36  0.570725E-11 -0.183671E-37 -0.304335E-39 -0.154284E-37  0.119325E-12
   9081.80      0.590675E-11  0.527708E-11  0.629674E-12  0.118934E-12  0.236719E-36 -0.583217E-38  0.233780E-36  0.566996E-11 -0.167508E-36 -0.619951E-38 -0.179263E-36  0.117855E-12
   9083.70      0.579819E-11  0.527550E-11  0.522691E-12  0.116710E-12  0.470935E-37 -0.290418E-39  0.683993E-37  0.556632E-11 -0.580400E-37 -0.336336E-39 -0.639175E-37  0.115156E-12
   9085.61      0.562328E-11  0.527233E-11  0.350956E-12  0.113146E-12 -0.863987E-37  0.132434E-37 -0.757458E-37  0.539864E-11  0.387913E-36  0.132434E-37  0.405546E-36  0.111496E-12
   9087.54      0.540053E-11  0.526915E-11  0.131380E-12  0.108612E-12 -0.157447E-36  0.236299E-37 -0.139815E-36  0.518458E-11  0.775826E-36  0.177524E-37  0.764071E-36  0.107331E-12
   9089.50      0.515733E-11  0.526591E-11 -0.108585E-12  0.103664E-12 -0.127520E-36  0.419099E-37 -0.127520E-36  0.495052E-11  0.799336E-36  0.375018E-37  0.799336E-36  0.103149E-12
   9091.47      0.492616E-11  0.526265E-11 -0.336486E-12  0.989565E-13 -0.835171E-37  0.120508E-37 -0.838844E-37  0.472782E-11  0.282119E-36  0.911208E-38  0.282119E-36  0.993907E-13
   9093.46      0.473557E-11  0.525791E-11 -0.522339E-12  0.950701E-13  0.423566E-37  0.433785E-38  0.416220E-37  0.454416E-11  0.146937E-36  0.250114E-38  0.161630E-36  0.963387E-13
   9095.47      0.460769E-11  0.525316E-11 -0.645465E-12  0.924532E-13 -0.338609E-36 -0.198880E-37 -0.338609E-36  0.442107E-11 -0.417300E-36 -0.129085E-37 -0.393791E-36  0.941703E-13
   9097.50      0.454857E-11  0.524836E-11 -0.699789E-12  0.912280E-13 -0.117066E-35 -0.276810E-37 -0.116478E-35  0.436446E-11 -0.150463E-35 -0.159261E-37 -0.138708E-35  0.928758E-13
   9099.55      0.454938E-11  0.524355E-11 -0.694168E-12  0.912148E-13 -0.194992E-35 -0.883821E-37 -0.157376E-35  0.436583E-11 -0.263311E-35 -0.103076E-36 -0.258609E-35  0.923306E-13
   9101.61      0.459047E-11  0.523737E-11 -0.646905E-12  0.920135E-13 -0.126525E-35 -0.705869E-37 -0.121823E-35  0.440610E-11 -0.249205E-35 -0.676481E-37 -0.249205E-35  0.923534E-13
   9103.70      0.464852E-11  0.523119E-11 -0.582672E-12  0.931497E-13 -0.444352E-36 -0.356797E-37 -0.442882E-36  0.446259E-11 -0.143410E-35 -0.298023E-37 -0.124602E-35  0.927822E-13
   9105.80      0.470442E-11  0.522499E-11 -0.520570E-12  0.942347E-13  0.612773E-37 -0.161511E-37  0.546652E-37  0.451670E-11 -0.115198E-35 -0.176205E-37 -0.119900E-35  0.934898E-13
   9107.93      0.474945E-11  0.521876E-11 -0.469310E-12  0.950917E-13  0.380496E-36 -0.353743E-37  0.287926E-36  0.455994E-11 -0.117549E-35 -0.463946E-37 -0.963905E-36  0.944143E-13
   9110.07      0.478783E-11  0.521176E-11 -0.423934E-12  0.958073E-13  0.741809E-36  0.103290E-37  0.800583E-36  0.459646E-11  0.335016E-36  0.140025E-37  0.329138E-36  0.955625E-13
