# Loss function from file ../../../EpsInv/opconsKK.dat located in directory
# /home/hebhop/Research/SE_Runs/Cu/Feff/FMS/NewFEFF90
#
# Header from ../../../EpsInv/opconsKK.dat
###############################################################################################
# name:     copper
# formula:  Cu
# sites:    Cu1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, fcc
# POT  SCF  30  5.8000   0, core-hole, AFOLP (folp(0)= 1.150)
#   omega (eV)      epsilon_1       epsilon_2       n               kappa           mu (cm^(-1))    R               epsinv   
###############################################################################################
#
# omega	-Im[eps**{-1}]
0.123893E+03 0.100466E+00
0.123982E+03 0.100319E+00
0.124073E+03 0.100169E+00
0.124167E+03 0.100011E+00
0.124263E+03 0.998486E-01
0.124363E+03 0.996814E-01
0.124465E+03 0.995073E-01
0.124569E+03 0.993201E-01
0.124677E+03 0.991249E-01
0.124787E+03 0.989224E-01
0.124900E+03 0.987146E-01
0.125016E+03 0.985001E-01
0.125134E+03 0.982797E-01
0.125255E+03 0.980539E-01
0.125379E+03 0.978225E-01
0.125505E+03 0.975865E-01
0.125635E+03 0.973456E-01
0.125767E+03 0.970997E-01
0.125901E+03 0.968495E-01
0.126039E+03 0.965969E-01
0.126179E+03 0.963403E-01
0.126322E+03 0.960797E-01
0.126467E+03 0.958171E-01
0.126616E+03 0.955519E-01
0.126767E+03 0.952604E-01
0.126920E+03 0.949639E-01
0.127077E+03 0.946624E-01
0.127236E+03 0.943578E-01
0.127398E+03 0.940508E-01
0.127563E+03 0.937403E-01
0.127730E+03 0.934272E-01
0.127900E+03 0.931108E-01
0.128073E+03 0.927908E-01
0.128248E+03 0.924686E-01
0.128427E+03 0.921436E-01
0.128608E+03 0.918137E-01
0.128791E+03 0.914809E-01
0.128978E+03 0.911203E-01
0.129167E+03 0.907511E-01
0.129359E+03 0.903773E-01
0.129553E+03 0.899982E-01
0.129750E+03 0.896142E-01
0.129950E+03 0.892260E-01
0.130153E+03 0.888351E-01
0.130359E+03 0.884415E-01
0.130567E+03 0.880457E-01
0.130778E+03 0.876505E-01
0.130991E+03 0.872519E-01
0.131208E+03 0.868490E-01
0.131427E+03 0.864464E-01
0.131648E+03 0.860406E-01
0.131873E+03 0.856427E-01
0.132100E+03 0.852433E-01
0.132330E+03 0.848456E-01
0.132563E+03 0.844547E-01
0.132798E+03 0.840631E-01
0.133036E+03 0.836719E-01
0.133277E+03 0.832921E-01
0.133521E+03 0.829289E-01
0.133767E+03 0.825550E-01
0.134016E+03 0.821807E-01
0.134268E+03 0.817973E-01
0.134522E+03 0.813980E-01
0.134779E+03 0.809960E-01
0.135039E+03 0.805737E-01
0.135302E+03 0.801407E-01
0.135567E+03 0.797354E-01
0.135835E+03 0.793275E-01
0.136106E+03 0.789184E-01
0.136379E+03 0.784996E-01
0.136655E+03 0.780695E-01
0.136934E+03 0.776357E-01
0.137216E+03 0.771918E-01
0.137500E+03 0.767412E-01
0.137787E+03 0.763210E-01
0.138077E+03 0.759285E-01
0.138370E+03 0.755357E-01
0.138665E+03 0.751476E-01
0.138963E+03 0.747633E-01
0.139264E+03 0.743770E-01
0.139567E+03 0.740069E-01
0.139873E+03 0.736369E-01
0.140182E+03 0.733222E-01
0.140494E+03 0.730313E-01
0.140808E+03 0.727430E-01
0.141125E+03 0.724625E-01
0.141445E+03 0.721883E-01
0.141767E+03 0.719157E-01
0.142092E+03 0.716279E-01
0.142420E+03 0.713735E-01
0.142751E+03 0.711238E-01
0.143084E+03 0.708621E-01
0.143420E+03 0.706016E-01
0.143759E+03 0.703304E-01
0.144100E+03 0.700537E-01
0.144445E+03 0.697787E-01
0.144792E+03 0.694821E-01
0.145141E+03 0.691842E-01
0.145494E+03 0.688846E-01
0.145849E+03 0.685834E-01
0.146207E+03 0.682833E-01
0.146567E+03 0.679831E-01
0.146930E+03 0.676665E-01
0.147296E+03 0.673285E-01
0.147665E+03 0.669905E-01
0.148036E+03 0.666528E-01
0.148411E+03 0.663179E-01
0.148788E+03 0.659874E-01
0.149167E+03 0.656499E-01
0.149549E+03 0.652806E-01
0.149934E+03 0.649116E-01
0.150322E+03 0.645429E-01
0.150713E+03 0.641822E-01
0.151106E+03 0.638232E-01
0.151502E+03 0.634647E-01
0.151901E+03 0.630826E-01
0.152302E+03 0.626997E-01
0.152706E+03 0.623210E-01
0.153113E+03 0.619437E-01
0.153522E+03 0.615671E-01
0.153935E+03 0.611925E-01
0.154350E+03 0.608185E-01
0.154767E+03 0.604461E-01
0.155188E+03 0.600746E-01
0.155611E+03 0.597031E-01
0.156037E+03 0.593320E-01
0.156465E+03 0.589797E-01
0.156897E+03 0.586425E-01
0.157331E+03 0.583072E-01
0.157767E+03 0.579732E-01
0.158207E+03 0.576401E-01
0.158649E+03 0.573089E-01
0.159094E+03 0.570274E-01
0.159541E+03 0.567500E-01
0.159992E+03 0.564751E-01
0.160445E+03 0.562008E-01
0.160901E+03 0.559262E-01
0.161359E+03 0.556856E-01
0.161820E+03 0.554646E-01
0.162284E+03 0.552454E-01
0.162751E+03 0.550278E-01
0.163220E+03 0.548097E-01
0.163693E+03 0.546031E-01
0.164167E+03 0.544113E-01
0.164645E+03 0.542191E-01
0.165125E+03 0.540296E-01
0.165608E+03 0.538386E-01
0.166094E+03 0.536533E-01
0.166582E+03 0.534874E-01
0.167074E+03 0.533202E-01
0.167567E+03 0.531556E-01
0.168064E+03 0.529915E-01
0.168563E+03 0.528154E-01
0.169065E+03 0.525957E-01
0.169570E+03 0.523725E-01
0.170078E+03 0.521497E-01
0.170588E+03 0.519256E-01
0.171101E+03 0.516744E-01
0.171616E+03 0.513634E-01
0.172135E+03 0.510512E-01
0.172656E+03 0.507334E-01
0.173180E+03 0.504133E-01
0.173706E+03 0.500591E-01
0.174236E+03 0.496525E-01
0.174768E+03 0.492366E-01
0.175302E+03 0.488229E-01
0.175840E+03 0.484123E-01
0.176380E+03 0.479545E-01
0.176923E+03 0.474650E-01
0.177468E+03 0.469758E-01
0.178017E+03 0.464930E-01
0.178568E+03 0.460079E-01
0.179121E+03 0.454768E-01
0.179678E+03 0.449476E-01
0.180237E+03 0.444206E-01
0.180799E+03 0.438969E-01
0.181364E+03 0.433713E-01
0.181931E+03 0.428378E-01
0.182501E+03 0.423109E-01
0.183074E+03 0.417889E-01
0.183649E+03 0.412689E-01
0.184228E+03 0.407633E-01
0.184809E+03 0.402718E-01
0.185392E+03 0.397822E-01
0.185979E+03 0.392943E-01
0.186568E+03 0.388219E-01
0.187160E+03 0.383781E-01
0.187754E+03 0.379376E-01
0.188351E+03 0.374993E-01
0.188951E+03 0.370651E-01
0.189554E+03 0.366716E-01
0.190160E+03 0.362868E-01
0.190768E+03 0.359035E-01
0.191379E+03 0.355217E-01
0.191992E+03 0.351820E-01
0.192609E+03 0.348853E-01
0.193228E+03 0.345876E-01
0.193850E+03 0.342929E-01
0.194474E+03 0.340064E-01
0.195101E+03 0.337447E-01
0.195731E+03 0.334836E-01
0.196364E+03 0.332249E-01
0.196999E+03 0.329656E-01
0.197637E+03 0.327258E-01
0.198278E+03 0.324915E-01
0.198922E+03 0.322599E-01
0.199568E+03 0.320264E-01
0.200217E+03 0.318046E-01
0.200869E+03 0.315890E-01
0.201523E+03 0.313774E-01
0.202180E+03 0.311689E-01
0.202840E+03 0.309621E-01
0.203503E+03 0.307594E-01
0.204168E+03 0.305626E-01
0.204836E+03 0.303673E-01
0.205507E+03 0.301691E-01
0.206180E+03 0.299765E-01
0.206857E+03 0.297849E-01
0.207535E+03 0.295938E-01
0.208217E+03 0.294075E-01
0.208901E+03 0.292100E-01
0.209589E+03 0.290131E-01
0.210278E+03 0.288211E-01
0.210971E+03 0.286264E-01
0.211666E+03 0.284145E-01
0.212364E+03 0.282028E-01
0.213065E+03 0.279900E-01
0.213768E+03 0.277746E-01
0.214474E+03 0.275404E-01
0.215183E+03 0.273026E-01
0.215895E+03 0.270658E-01
0.216609E+03 0.268254E-01
0.217326E+03 0.265697E-01
0.218046E+03 0.263130E-01
0.218768E+03 0.260567E-01
0.219493E+03 0.258058E-01
0.220221E+03 0.255722E-01
0.220952E+03 0.253404E-01
0.221685E+03 0.251100E-01
0.222421E+03 0.248826E-01
0.223160E+03 0.246601E-01
0.223902E+03 0.244397E-01
0.224646E+03 0.242238E-01
0.225393E+03 0.240153E-01
0.226143E+03 0.238160E-01
